,Date,Regions,Internal Displced People
310,2021-06-01,Boucle du Mouhoun,45597
311,2021-06-01,Cascades,10017
312,2021-06-01,Centre,1051
313,2021-06-01,Centre-Est,32051
314,2021-06-01,Centre-Nord,476225
315,2021-06-01,Centre-Ouest,11126
316,2021-06-01,Centre-Sud,4024
317,2021-06-01,Est,103927
318,2021-06-01,Hauts-Bassins,22542
319,2021-06-01,Nord,107012
320,2021-06-01,Plateau Central,16909
321,2021-06-01,Sahel,471688
322,2021-06-01,Sud-Ouest,9902
323,2021-07-01,Boucle du Mouhoun,46315
324,2021-07-01,Cascades,10017
325,2021-07-01,Centre,1051
326,2021-07-01,Centre-Est,32686
327,2021-07-01,Centre-Nord,483546
328,2021-07-01,Centre-Ouest,20973
329,2021-07-01,Centre-Sud,4010
330,2021-07-01,Est,113867
331,2021-07-01,Hauts-Bassins,22823
332,2021-07-01,Nord,113155
333,2021-07-01,Plateau Central,16632
334,2021-07-01,Sahel,493187
335,2021-07-01,Sud-Ouest,9902
336,2021-08-01,Boucle du Mouhoun,47523
337,2021-08-01,Cascades,10109
338,2021-08-01,Centre,1051
339,2021-08-01,Centre-Est,33221
340,2021-08-01,Centre-Nord,494061
341,2021-08-01,Centre-Ouest,20973
342,2021-08-01,Centre-Sud,4010
343,2021-08-01,Est,136764
344,2021-08-01,Hauts-Bassins,23191
345,2021-08-01,Nord,125985
346,2021-08-01,Plateau Central,17786
347,2021-08-01,Sahel,498802
348,2021-08-01,Sud-Ouest,9902
349,2021-09-01,Boucle du Mouhoun,47573
350,2021-09-01,Cascades,15596
351,2021-09-01,Centre,1051
352,2021-09-01,Centre-Est,32352
353,2021-09-01,Centre-Nord,466314
354,2021-09-01,Centre-Ouest,20960
355,2021-09-01,Centre-Sud,4359
356,2021-09-01,Est,143246
357,2021-09-01,Hauts-Bassins,23216
358,2021-09-01,Nord,128162
359,2021-09-01,Plateau Central,18081
360,2021-09-01,Sahel,493708
361,2021-09-01,Sud-Ouest,13067
362,2021-10-01,Boucle du Mouhoun,47573
363,2021-10-01,Cascades,15626
364,2021-10-01,Centre,1051
365,2021-10-01,Centre-Est,33815
366,2021-10-01,Centre-Nord,510110
367,2021-10-01,Centre-Ouest,20960
368,2021-10-01,Centre-Sud,4359
369,2021-10-01,Est,146960
370,2021-10-01,Hauts-Bassins,23943
371,2021-10-01,Nord,142107
372,2021-10-01,Plateau Central,11851
373,2021-10-01,Sahel,510279
374,2021-10-01,Sud-Ouest,13067
375,2021-11-01,Boucle du Mouhoun,50042
376,2021-11-01,Cascades,15626
377,2021-11-01,Centre,1051
378,2021-11-01,Centre-Est,34766
379,2021-11-01,Centre-Nord,518947
380,2021-11-01,Centre-Ouest,20960
381,2021-11-01,Centre-Sud,4359
382,2021-11-01,Est,148191
383,2021-11-01,Hauts-Bassins,24739
384,2021-11-01,Nord,143544
385,2021-11-01,Plateau Central,12577
386,2021-11-01,Sahel,510279
387,2021-11-01,Sud-Ouest,16694
388,2021-12-01,Boucle du Mouhoun,50054
389,2021-12-01,Cascades,17793
