,Date,Region,PDI
267,2021-02,Hauts-Bassins,21221.0
268,2021-02,Nord,92826.0
269,2021-02,Plateau Central,15583.0
270,2021-02,Sahel,355909.0
271,2021-02,Sud-Ouest,7246.0
272,2021-03,Boucle du Mouhoun,44913.0
273,2021-03,Cascades,8629.0
274,2021-03,Centre,1051.0
275,2021-03,Centre-Est,30888.0
276,2021-03,Centre-Nord,462690.0
277,2021-03,Centre-Ouest,11126.0
278,2021-03,Centre-Sud,4024.0
279,2021-03,Est,89889.0
280,2021-03,Hauts-Bassins,21609.0
281,2021-03,Nord,100254.0
282,2021-03,Plateau Central,16408.0
283,2021-03,Sahel,347159.0
284,2021-03,Sud-Ouest,9059.0
285,2021-04,Boucle du Mouhoun,44913.0
286,2021-04,Cascades,9875.0
287,2021-04,Centre,1051.0
288,2021-04,Centre-Est,31258.0
289,2021-04,Centre-Nord,467738.0
290,2021-04,Centre-Ouest,11126.0
291,2021-04,Centre-Sud,4024.0
292,2021-04,Est,96223.0
293,2021-04,Hauts-Bassins,21836.0
294,2021-04,Nord,102295.0
295,2021-04,Plateau Central,16570.0
296,2021-04,Sahel,402786.0
297,2021-04,Sud-Ouest,9059.0
298,2021-05,Boucle du Mouhoun,44942.0
299,2021-05,Cascades,9980.0
300,2021-05,Centre,1051.0
301,2021-05,Centre-Est,31741.0
302,2021-05,Centre-Nord,469442.0
303,2021-05,Centre-Ouest,11126.0
304,2021-05,Centre-Sud,4024.0
305,2021-05,Est,98627.0
306,2021-05,Hauts-Bassins,22205.0
307,2021-05,Nord,105536.0
308,2021-05,Plateau Central,16820.0
309,2021-05,Sahel,428171.0
310,2021-05,Sud-Ouest,9751.0
311,2021-06,Boucle du Mouhoun,45597.0
312,2021-06,Cascades,10017.0
313,2021-06,Centre,1051.0
314,2021-06,Centre-Est,32051.0
315,2021-06,Centre-Nord,476225.0
316,2021-06,Centre-Ouest,11126.0
317,2021-06,Centre-Sud,4024.0
318,2021-06,Est,103927.0
319,2021-06,Hauts-Bassins,22542.0
320,2021-06,Nord,107012.0
321,2021-06,Plateau Central,16909.0
322,2021-06,Sahel,471688.0
323,2021-06,Sud-Ouest,9902.0
324,2021-07,Boucle du Mouhoun,46315.0
325,2021-07,Cascades,10017.0
326,2021-07,Centre,1051.0
327,2021-07,Centre-Est,32686.0
328,2021-07,Centre-Nord,483546.0
329,2021-07,Centre-Ouest,20973.0
330,2021-07,Centre-Sud,4010.0
331,2021-07,Est,113867.0
332,2021-07,Hauts-Bassins,22823.0
333,2021-07,Nord,113155.0
334,2021-07,Plateau Central,16632.0
335,2021-07,Sahel,493187.0
336,2021-07,Sud-Ouest,9902.0
337,2021-08,Boucle du Mouhoun,47523.0
338,2021-08,Cascades,10109.0
339,2021-08,Centre,1051.0
340,2021-08,Centre-Est,33221.0
341,2021-08,Centre-Nord,494061.0
342,2021-08,Centre-Ouest,20973.0
343,2021-08,Centre-Sud,4010.0
344,2021-08,Est,136764.0
345,2021-08,Hauts-Bassins,23191.0
346,2021-08,Nord,125985.0
347,2021-08,Plateau Central,17786.0
348,2021-08,Sahel,498802.0
349,2021-08,Sud-Ouest,9902.0
350,2021-09,Boucle du Mouhoun,47573.0
351,2021-09,Cascades,15596.0
352,2021-09,Centre,1051.0
353,2021-09,Centre-Est,32352.0
354,2021-09,Centre-Nord,466314.0
355,2021-09,Centre-Ouest,20960.0
356,2021-09,Centre-Sud,4359.0
357,2021-09,Est,143246.0
358,2021-09,Hauts-Bassins,23216.0
359,2021-09,Nord,128162.0
360,2021-09,Plateau Central,18081.0
361,2021-09,Sahel,493708.0
362,2021-09,Sud-Ouest,13067.0
363,2021-10,Boucle du Mouhoun,47573.0
364,2021-10,Cascades,15626.0
365,2021-10,Centre,1051.0
