,Location,Date,Precipitation(mm)
266,Bobo-Dioulasso,2013-03-01,22.2
267,Bobo-Dioulasso,2013-04-01,65.2
268,Bobo-Dioulasso,2013-05-01,74.2
269,Bobo-Dioulasso,2013-06-01,83.5
270,Bobo-Dioulasso,2013-07-01,178.2
271,Bobo-Dioulasso,2013-08-01,293.9
272,Bobo-Dioulasso,2013-09-01,154.8
273,Bobo-Dioulasso,2013-10-01,63.0
274,Bobo-Dioulasso,2013-11-01,0.0
275,Bobo-Dioulasso,2013-12-01,0.0
276,Bobo-Dioulasso,2014-01-01,13.6
277,Bobo-Dioulasso,2014-02-01,0.0
278,Bobo-Dioulasso,2014-03-01,40.1
279,Bobo-Dioulasso,2014-04-01,83.0
280,Bobo-Dioulasso,2014-05-01,80.5
281,Bobo-Dioulasso,2014-06-01,255.3
282,Bobo-Dioulasso,2014-07-01,179.1
283,Bobo-Dioulasso,2014-08-01,317.1
284,Bobo-Dioulasso,2014-09-01,229.7
285,Bobo-Dioulasso,2014-10-01,58.3
286,Bobo-Dioulasso,2014-11-01,20.9
287,Bobo-Dioulasso,2014-12-01,0.7
288,Bobo-Dioulasso,2015-01-01,0.0
289,Bobo-Dioulasso,2015-02-01,0.1
290,Bobo-Dioulasso,2015-03-01,12.1
291,Bobo-Dioulasso,2015-04-01,0.0
292,Bobo-Dioulasso,2015-05-01,38.9
293,Bobo-Dioulasso,2015-06-01,94.7
294,Bobo-Dioulasso,2015-07-01,228.2
295,Bobo-Dioulasso,2015-08-01,291.8
296,Bobo-Dioulasso,2015-09-01,429.3
297,Bobo-Dioulasso,2015-10-01,64.3
298,Bobo-Dioulasso,2015-11-01,13.7
299,Bobo-Dioulasso,2015-12-01,0.0
300,Bobo-Dioulasso,2016-01-01,0.0
301,Bobo-Dioulasso,2016-02-01,0.1
302,Bobo-Dioulasso,2016-03-01,0.4
303,Bobo-Dioulasso,2016-04-01,86.0
304,Bobo-Dioulasso,2016-05-01,148.0
305,Bobo-Dioulasso,2016-06-01,171.0
306,Bobo-Dioulasso,2016-07-01,177.8
307,Bobo-Dioulasso,2016-08-01,376.4
308,Bobo-Dioulasso,2016-09-01,221.5
309,Bobo-Dioulasso,2016-10-01,7.7
310,Bobo-Dioulasso,2016-11-01,1.7
311,Bobo-Dioulasso,2016-12-01,0.0
312,Bobo-Dioulasso,2017-01-01,0.0
313,Bobo-Dioulasso,2017-02-01,0.0
314,Bobo-Dioulasso,2017-03-01,0.0
315,Bobo-Dioulasso,2017-04-01,68.9
316,Bobo-Dioulasso,2017-05-01,85.4
317,Bobo-Dioulasso,2017-06-01,122.4
318,Bobo-Dioulasso,2017-07-01,151.7
319,Bobo-Dioulasso,2017-08-01,167.3
320,Bobo-Dioulasso,2017-09-01,47.0
321,Bobo-Dioulasso,2017-10-01,39.0
322,Bobo-Dioulasso,2017-11-01,0.0
323,Bobo-Dioulasso,2017-12-01,0.0
324,Bobo-Dioulasso,2018-01-01,0.0
325,Bobo-Dioulasso,2018-02-01,0.3
326,Bobo-Dioulasso,2018-03-01,55.8
327,Bobo-Dioulasso,2018-04-01,54.4
328,Bobo-Dioulasso,2018-05-01,28.3
329,Bobo-Dioulasso,2018-06-01,189.1
330,Bobo-Dioulasso,2018-07-01,232.4
331,Bobo-Dioulasso,2018-08-01,237.5
332,Bobo-Dioulasso,2018-09-01,374.1
333,Bobo-Dioulasso,2018-10-01,142.7
334,Bobo-Dioulasso,2018-11-01,5.6
335,Bobo-Dioulasso,2018-12-01,0.0
336,Bobo-Dioulasso,2019-01-01,0.0
337,Bobo-Dioulasso,2019-02-01,0.0
338,Bobo-Dioulasso,2019-03-01,26.3
339,Bobo-Dioulasso,2019-04-01,43.9
340,Bobo-Dioulasso,2019-05-01,139.6
341,Bobo-Dioulasso,2019-06-01,119.1
342,Bobo-Dioulasso,2019-07-01,356.2
343,Bobo-Dioulasso,2019-08-01,236.7
344,Bobo-Dioulasso,2019-09-01,265.1
345,Bobo-Dioulasso,2019-10-01,179.5
346,Bobo-Dioulasso,2019-11-01,3.8
347,Bobo-Dioulasso,2019-12-01,0.0
348,Bobo-Dioulasso,2020-01-01,0.0
349,Bobo-Dioulasso,2020-02-01,0.0
350,Bobo-Dioulasso,2020-03-01,21.2
351,Bobo-Dioulasso,2020-04-01,33.7
352,Bobo-Dioulasso,2020-05-01,140.1
353,Bobo-Dioulasso,2020-06-01,117.8
354,Bobo-Dioulasso,2020-07-01,150.1
355,Bobo-Dioulasso,2020-08-01,370.9
356,Bobo-Dioulasso,2020-09-01,233.0
357,Bobo-Dioulasso,2020-10-01,64.7
358,Bobo-Dioulasso,2020-11-01,0.0
359,Bobo-Dioulasso,2020-12-01,0.0
360,Bobo-Dioulasso,2021-01-01,0.0
361,Bobo-Dioulasso,2021-02-01,2.5
362,Bobo-Dioulasso,2021-03-01,7.8
363,Bobo-Dioulasso,2021-04-01,57.6
364,Bobo-Dioulasso,2021-05-01,120.0
365,Bobo-Dioulasso,2021-06-01,119.3
366,Bobo-Dioulasso,2021-07-01,256.7
367,Bobo-Dioulasso,2021-08-01,325.3
368,Bobo-Dioulasso,2021-09-01,198.5
369,Bobo-Dioulasso,2021-10-01,91.3
370,Bobo-Dioulasso,2021-11-01,40.1
371,Bobo-Dioulasso,2021-12-01,0.0
372,Dori,1991-01-01,0.0
373,Dori,1991-02-01,0.0
374,Dori,1991-03-01,8.6
375,Dori,1991-04-01,11.1
376,Dori,1991-05-01,77.7
377,Dori,1991-06-01,83.3
378,Dori,1991-07-01,74.6
379,Dori,1991-08-01,211.5
380,Dori,1991-09-01,61.0
381,Dori,1991-10-01,0.4
382,Dori,1991-11-01,0.0
383,Dori,1991-12-01,0.0
384,Dori,1992-01-01,0.0
385,Dori,1992-02-01,0.0
386,Dori,1992-03-01,0.0
387,Dori,1992-04-01,0.0
388,Dori,1992-05-01,36.0
389,Dori,1992-06-01,84.0
390,Dori,1992-07-01,65.1
391,Dori,1992-08-01,290.7
392,Dori,1992-09-01,41.6
393,Dori,1992-10-01,4.2
394,Dori,1992-11-01,0.0
395,Dori,1992-12-01,0.0
396,Dori,1993-01-01,0.0
397,Dori,1993-02-01,0.0
398,Dori,1993-03-01,0.0
399,Dori,1993-04-01,0.9
400,Dori,1993-05-01,3.4
401,Dori,1993-06-01,59.6
402,Dori,1993-07-01,48.2
403,Dori,1993-08-01,131.9
404,Dori,1993-09-01,60.3
405,Dori,1993-10-01,15.8
406,Dori,1993-11-01,0.0
407,Dori,1993-12-01,0.0
408,Dori,1994-01-01,0.0
409,Dori,1994-02-01,0.0
410,Dori,1994-03-01,3.3
411,Dori,1994-04-01,0.0
412,Dori,1994-05-01,13.2
413,Dori,1994-06-01,41.6
414,Dori,1994-07-01,136.0
415,Dori,1994-08-01,228.3
416,Dori,1994-09-01,79.4
417,Dori,1994-10-01,39.8
418,Dori,1994-11-01,0.0
419,Dori,1994-12-01,0.0
420,Dori,1995-01-01,0.0
421,Dori,1995-02-01,0.0
422,Dori,1995-03-01,0.0
423,Dori,1995-04-01,0.6
424,Dori,1995-05-01,21.0
425,Dori,1995-06-01,58.7
426,Dori,1995-07-01,109.8
427,Dori,1995-08-01,177.8
428,Dori,1995-09-01,73.9
429,Dori,1995-10-01,12.7
430,Dori,1995-11-01,0.0
431,Dori,1995-12-01,0.0
432,Dori,1996-01-01,0.0
433,Dori,1996-02-01,0.0
434,Dori,1996-03-01,0.0
435,Dori,1996-04-01,11.0
436,Dori,1996-05-01,19.9
437,Dori,1996-06-01,58.3
438,Dori,1996-07-01,77.1
439,Dori,1996-08-01,110.4
440,Dori,1996-09-01,74.5
441,Dori,1996-10-01,2.1
442,Dori,1996-11-01,0.0
443,Dori,1996-12-01,0.0
444,Dori,1997-01-01,0.0
445,Dori,1997-02-01,0.0
446,Dori,1997-03-01,32.8
447,Dori,1997-04-01,3.4
448,Dori,1997-05-01,54.5
449,Dori,1997-06-01,19.5
450,Dori,1997-07-01,188.0
451,Dori,1997-08-01,155.2
452,Dori,1997-09-01,62.8
453,Dori,1997-10-01,16.2
454,Dori,1997-11-01,0.0
455,Dori,1997-12-01,0.0
456,Dori,1998-01-01,0.0
457,Dori,1998-02-01,0.0
458,Dori,1998-03-01,0.0
459,Dori,1998-04-01,0.0
460,Dori,1998-05-01,2.3
461,Dori,1998-06-01,67.5
462,Dori,1998-07-01,184.5
463,Dori,1998-08-01,82.7
464,Dori,1998-09-01,168.7
465,Dori,1998-10-01,2.4
466,Dori,1998-11-01,0.0
467,Dori,1998-12-01,0.0
468,Dori,1999-01-01,0.0
469,Dori,1999-02-01,0.1
471,Dori,1999-04-01,0.0
472,Dori,1999-05-01,10.3
473,Dori,1999-06-01,53.4
474,Dori,1999-07-01,220.5
475,Dori,1999-08-01,164.1
476,Dori,1999-09-01,87.5
477,Dori,1999-10-01,0.0
478,Dori,1999-11-01,0.0
479,Dori,1999-12-01,0.0
480,Dori,2000-01-01,0.0
481,Dori,2000-02-01,0.0
482,Dori,2000-03-01,0.0
483,Dori,2000-04-01,0.7
484,Dori,2000-05-01,3.6
485,Dori,2000-06-01,69.2
486,Dori,2000-07-01,86.4
487,Dori,2000-08-01,121.7
488,Dori,2000-09-01,67.5
489,Dori,2000-10-01,0.7
490,Dori,2000-11-01,0.0
491,Dori,2000-12-01,0.0
492,Dori,2001-01-01,0.0
493,Dori,2001-02-01,0.0
494,Dori,2001-03-01,0.0
495,Dori,2001-04-01,0.0
496,Dori,2001-05-01,13.5
497,Dori,2001-06-01,30.2
498,Dori,2001-07-01,108.3
499,Dori,2001-08-01,165.9
500,Dori,2001-09-01,69.0
501,Dori,2001-10-01,13.9
502,Dori,2001-11-01,0.0
503,Dori,2001-12-01,0.0
504,Dori,2002-01-01,0.0
505,Dori,2002-02-01,0.0
506,Dori,2002-03-01,0.0
507,Dori,2002-04-01,10.5
508,Dori,2002-05-01,29.3
509,Dori,2002-06-01,87.4
510,Dori,2002-07-01,105.6
511,Dori,2002-08-01,94.0
512,Dori,2002-09-01,49.2
513,Dori,2002-10-01,56.9
514,Dori,2002-11-01,0.0
515,Dori,2002-12-01,0.0
516,Dori,2003-01-01,0.0
517,Dori,2003-02-01,0.0
518,Dori,2003-03-01,0.9
519,Dori,2003-04-01,1.0
520,Dori,2003-05-01,52.8
521,Dori,2003-06-01,84.6
522,Dori,2003-07-01,213.9
523,Dori,2003-08-01,234.7
524,Dori,2003-09-01,125.3
525,Dori,2003-10-01,40.0
526,Dori,2003-11-01,0.0
527,Dori,2003-12-01,0.0
528,Dori,2004-01-01,0.0
529,Dori,2004-02-01,0.0
530,Dori,2004-03-01,0.0
531,Dori,2004-04-01,0.7
532,Dori,2004-05-01,18.2
533,Dori,2004-06-01,30.8
534,Dori,2004-07-01,117.8
535,Dori,2004-08-01,77.9
536,Dori,2004-09-01,51.8
537,Dori,2004-10-01,13.5
538,Dori,2004-11-01,0.0
539,Dori,2004-12-01,0.0
540,Dori,2005-01-01,0.0
541,Dori,2005-02-01,0.0
542,Dori,2005-03-01,3.8
543,Dori,2005-04-01,0.0
544,Dori,2005-05-01,97.0
545,Dori,2005-06-01,203.9
546,Dori,2005-07-01,124.0
547,Dori,2005-08-01,184.5
548,Dori,2005-09-01,86.8
549,Dori,2005-10-01,22.1
550,Dori,2005-11-01,0.0
551,Dori,2005-12-01,0.0
552,Dori,2006-01-01,0.0
553,Dori,2006-02-01,0.0
554,Dori,2006-03-01,0.0
555,Dori,2006-04-01,0.0
556,Dori,2006-05-01,5.8
557,Dori,2006-06-01,72.6
558,Dori,2006-07-01,80.4
559,Dori,2006-08-01,170.0
560,Dori,2006-09-01,39.0
561,Dori,2006-10-01,28.7
562,Dori,2006-11-01,0.0
563,Dori,2006-12-01,0.0
564,Dori,2007-01-01,0.0
565,Dori,2007-02-01,0.0
566,Dori,2007-03-01,0.0
567,Dori,2007-04-01,1.4
568,Dori,2007-05-01,75.1
569,Dori,2007-06-01,29.4
570,Dori,2007-07-01,148.3
571,Dori,2007-08-01,162.7
572,Dori,2007-09-01,114.1
573,Dori,2007-10-01,1.0
574,Dori,2007-11-01,0.0
575,Dori,2007-12-01,0.2
576,Dori,2008-01-01,0.0
577,Dori,2008-02-01,0.0
578,Dori,2008-03-01,0.0
579,Dori,2008-04-01,1.8
580,Dori,2008-05-01,41.3
581,Dori,2008-06-01,162.5
582,Dori,2008-07-01,105.3
583,Dori,2008-08-01,131.3
584,Dori,2008-09-01,47.9
585,Dori,2008-10-01,12.9
586,Dori,2008-11-01,0.0
587,Dori,2008-12-01,0.0
588,Dori,2009-01-01,0.0
589,Dori,2009-02-01,0.0
590,Dori,2009-03-01,0.0
591,Dori,2009-04-01,0.0
592,Dori,2009-05-01,11.5
593,Dori,2009-06-01,60.2
594,Dori,2009-07-01,52.8
595,Dori,2009-08-01,234.2
596,Dori,2009-09-01,36.6
597,Dori,2009-10-01,27.4
598,Dori,2009-11-01,0.0
599,Dori,2009-12-01,0.0
600,Dori,2010-01-01,0.0
601,Dori,2010-02-01,0.0
602,Dori,2010-03-01,0.0
603,Dori,2010-04-01,0.5
604,Dori,2010-05-01,0.0
605,Dori,2010-06-01,32.3
